"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0G4LQ62YL-CRM-HP-2606sdw-Black","","","","758.09","17.08","0.3750","2736","8","0.0029","44.37","5.55","3","0.0585","3","1.0000","758.09","1.0000","1374"
"B0BQMY39JW-CRM_AP_BLACK_PACK OF 3","","","","0.00","0.00","0.0000","1074","6","0.0056","41.23","6.87","0","0.0000","0","0.0000","0.00","0.0000","237"
"B0BQMZGXJ4-CRM_AP_BLUE_PACK OF 3","","","","475.24","12.16","0.2000","3169","5","0.0016","39.08","7.82","1","0.0822","0","0.0000","0.00","0.0000","100"
"B0BFB324WC-Bajaj_2","","","","270.48","7.53","0.1000","2159","10","0.0046","35.92","3.59","1","0.1328","0","0.0000","0.00","0.0000","0"
"B0DM1GM4RV-CRM-BR-580-T226-NW-BLACK","","","","256.19","8.36","0.1667","1616","6","0.0037","30.66","5.11","1","0.1197","1","1.0000","256.19","1.0000","149"
"B0DKSPVH4D-CRM-HP-4826-4929-Black","","","","0.00","0.00","0.0000","3150","6","0.0019","30.61","5.10","0","0.0000","0","0.0000","0.00","0.0000","156"
"B0BFB324WC-Bajaj_4","","","","474.28","17.17","0.2500","2956","8","0.0027","27.63","3.45","2","0.0583","0","0.0000","0.00","0.0000","0"
"B0GQ98S46L-CRM-WO1-Blue-5Q","","","","0.00","0.00","0.0000","1324","4","0.0030","24.92","6.23","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DLWTVV7P-CRM-HP-670-720-BLACK","","","","0.00","0.00","0.0000","1182","3","0.0025","22.93","7.64","0","0.0000","0","0.0000","0.00","0.0000","622"
"B0DLWR2DWQ-CRM-HP-670-720-GREY","","","","245.71","11.54","1.0000","1284","1","0.0008","21.29","21.29","1","0.0866","1","1.0000","245.71","1.0000","586"
"B0DLW6JTJH-CRM-HP-4828-2878-BLACK","","","","530.47","76.88","2.0000","517","1","0.0019","6.90","6.90","2","0.0130","2","1.0000","530.47","1.0000","192"
"B0CV3M59HH-CRM-WG-NW-Bajaj-Grey","","","","0.00","0.00","0.0000","236","0","0.0000","1.33","0.00","0","0.0000","0","0.0000","0.00","0.0000","73"
"B00AZJ87ZG-DR-015X-5VGE","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FWTPBJ-Nv02","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FX3QKV-Nv03","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FXFBYG-Nv05","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv07","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv31","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GGFL45-Nv06","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Mini Black","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Nv09","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv08","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv2151","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv29","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv70","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JCX3M6-Nv15","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JDBGV2-Nv14","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786FH1VH-Nv43","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786JB2RD-Nv45","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HCXPMQ-Nv55","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HXNG24-Nv58","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078J36Z1M-Nv57","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Jmax Black","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv64","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv78","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SRD2T1-Nv68","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078STXP6F-Nv67","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVBFCY-Nv69","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVF664-Nv66","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Air2 Rc Black","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Nv72","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv231","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv73","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078THLTYM-Nv74","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv77","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv82","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Tab E Black","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv204","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv79","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv80","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079L7DRZH-Nv81","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079P2992V-Nv84","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079YXNZ6K-CA_G_3060","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Jmax Brown","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Nv242","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Nv86","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFW6VCF-Nv87","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFW84GP-Nv222","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
