"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0F916GTW7","X002BBNFU1","Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey","DEL4","IN","16.50","15.49","4.50","centimeter","0.12","kilograms","0.0011","cubic meter","12.61","0.0","0.0145","2026-03","2083.88","INR","30.2127","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","DEL4","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","0.45","0.26","0.0002","2026-03","2083.88","INR","0.3954","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","BLR8","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","10.1","0.0","0.0099","2026-03","2083.88","INR","20.5293","0.16"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","DEL5","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","3.19","0.0","0.0029","2026-03","2083.88","INR","6.0544","0.26"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","HYD8","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","14.1","0.0","0.0138","2026-03","2083.88","INR","28.7905","0.16"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","HYD8","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","1.03","0.55","0.0005","2026-03","2083.88","INR","0.9914","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","BLR7","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","5.0","0.0","0.0049","2026-03","2083.88","INR","10.2675","0.03"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","BOM5","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","6.06","0.0","0.0060","2026-03","2083.88","INR","12.5158","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","AMD2","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","4.16","0.0","0.0041","2026-03","2083.88","INR","8.5917","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","HYD3","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","1.58","0.0","0.0016","2026-03","2083.88","INR","3.2633","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BLR8","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","0.23","0.1","0.0002","2026-03","2083.88","INR","0.3541","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BOM5","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","5.45","0.0","0.0068","2026-03","2083.88","INR","14.2625","0.23"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","HYD8","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","2.0","0.0","0.0025","2026-03","2083.88","INR","5.299","0.06"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BOM7","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","0.03","0.03","0.0000","2026-03","2083.88","INR","0.0","0.0"
